operator,canonical_key,canonical_config_id,total_mutants,high_high_mutants,hit_rate,support_bugs,support_datasets,support_bugs_high_high,support_datasets_high_high
change_loss_function,cosine_similarity,change_loss_function::cosine_similarity,1.0,1.0,1.0,1.0,1.0,1.0,1.0
delete_training_data,pct_50_70,delete_training_data::pct_50_70,37.0,22.0,0.5945945945945946,13.0,3.0,10.0,3.0
change_dropout_rate,0.125,change_dropout_rate::0.125,26.0,15.0,0.5769230769230769,16.0,2.0,9.0,2.0
change_dropout_rate,0.25,change_dropout_rate::0.25,26.0,15.0,0.5769230769230769,16.0,2.0,9.0,2.0
change_learning_rate,lr_gt_1e-2,change_learning_rate::lr_gt_1e-2,26.0,15.0,0.5769230769230769,3.0,2.0,2.0,2.0
change_label,pct_70_90,change_label::pct_70_90,22.0,11.0,0.5,13.0,2.0,6.0,2.0
change_label,pct_50_70,change_label::pct_50_70,32.0,13.0,0.40625,10.0,2.0,4.0,2.0
make_output_classes_overlap,pct_15_30,make_output_classes_overlap::pct_15_30,70.0,27.0,0.38571428571428573,41.0,3.0,18.0,3.0
change_batch_size,bs_129_256,change_batch_size::bs_129_256,13.0,5.0,0.38461538461538464,13.0,2.0,5.0,2.0
make_output_classes_overlap,pct_50_70,make_output_classes_overlap::pct_50_70,29.0,11.0,0.3793103448275862,13.0,2.0,3.0,1.0
change_dropout_rate,0.75,change_dropout_rate::0.75,27.0,10.0,0.37037037037037035,17.0,2.0,6.0,2.0
delete_training_data,pct_30_50,delete_training_data::pct_30_50,129.0,46.0,0.35658914728682173,51.0,3.0,19.0,3.0
add_noise,pct_5_15,add_noise::pct_5_15,32.0,11.0,0.34375,16.0,3.0,6.0,3.0
remove_bias,any_layer,remove_bias::any_layer,175.0,60.0,0.34285714285714286,60.0,3.0,23.0,3.0
change_batch_size,bs_65_128,change_batch_size::bs_65_128,42.0,14.0,0.3333333333333333,42.0,3.0,14.0,3.0
change_loss_function,mean_squared_logarithmic_error,change_loss_function::mean_squared_logarithmic_error,58.0,19.0,0.3275862068965517,58.0,3.0,19.0,3.0
change_label,pct_le_5,change_label::pct_le_5,28.0,9.0,0.32142857142857145,28.0,3.0,9.0,3.0
change_weights_initialisation,random_normal,change_weights_initialisation::random_normal,174.0,55.0,0.3160919540229885,59.0,3.0,25.0,3.0
make_output_classes_overlap,pct_5_15,make_output_classes_overlap::pct_5_15,70.0,22.0,0.3142857142857143,34.0,3.0,12.0,3.0
unbalance_train_data,pct_50_70,unbalance_train_data::pct_50_70,48.0,15.0,0.3125,18.0,3.0,7.0,3.0
change_weights_initialisation,lecun_uniform,change_weights_initialisation::lecun_uniform,174.0,54.0,0.3103448275862069,59.0,3.0,21.0,3.0
change_optimisation_function,nadam,change_optimisation_function::nadam,58.0,18.0,0.3103448275862069,58.0,3.0,18.0,3.0
change_optimisation_function,rmsprop,change_optimisation_function::rmsprop,52.0,16.0,0.3076923076923077,52.0,3.0,16.0,3.0
add_noise,pct_15_30,add_noise::pct_15_30,56.0,17.0,0.30357142857142855,30.0,3.0,10.0,3.0
delete_training_data,pct_5_15,delete_training_data::pct_5_15,53.0,16.0,0.3018867924528302,28.0,3.0,10.0,3.0
change_label,pct_5_15,change_label::pct_5_15,83.0,25.0,0.30120481927710846,41.0,3.0,15.0,3.0
unbalance_train_data,pct_le_5,unbalance_train_data::pct_le_5,10.0,3.0,0.3,10.0,3.0,3.0,2.0
